"module name","licenses","repository","licenseUrl","parents"
"append-transform@0.4.0","MIT","https://github.com/jamestalmage/append-transform","https://github.com/jamestalmage/append-transform/raw/master/license","zoonavigator-web"
"aproba@1.1.1","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","zoonavigator-web"
"are-we-there-yet@1.1.2","ISC","https://github.com/iarna/are-we-there-yet","https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","zoonavigator-web"
"argparse@1.0.9","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","zoonavigator-web"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","zoonavigator-web"
"arr-flatten@1.0.1","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/blob/master/LICENSE","zoonavigator-web"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index","https://github.com/sindresorhus/array-find-index/raw/master/license","zoonavigator-web"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten","https://github.com/blakeembrey/array-flatten/raw/master/LICENSE","zoonavigator-web"
"array-slice@0.2.3","MIT","https://github.com/jonschlinkert/array-slice","https://github.com/jonschlinkert/array-slice/blob/master/LICENSE","zoonavigator-web"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union","https://github.com/sindresorhus/array-union/raw/master/license","zoonavigator-web"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq","https://github.com/sindresorhus/array-uniq/raw/master/license","zoonavigator-web"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","zoonavigator-web"
"arraybuffer.slice@0.0.6","UNKNOWN","https://github.com/rase-/arraybuffer.slice","https://github.com/rase-/arraybuffer.slice","zoonavigator-web"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify","https://github.com/sindresorhus/arrify/raw/master/license","zoonavigator-web"
"asap@2.0.5","MIT","https://github.com/kriskowal/asap","https://github.com/kriskowal/asap/raw/master/LICENSE.md","zoonavigator-web"
"asn1.js@4.9.1","MIT","https://github.com/indutny/asn1.js","https://github.com/indutny/asn1.js","zoonavigator-web"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1","https://github.com/mcavage/node-asn1/raw/master/LICENSE","zoonavigator-web"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","zoonavigator-web"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","jsprim:zoonavigator-web"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert","https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE","zoonavigator-web"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each","https://github.com/paulmillr/async-each","zoonavigator-web"
"async-foreach@0.1.3","MIT*","https://github.com/cowboy/javascript-sync-async-foreach","https://github.com/cowboy/javascript-sync-async-foreach/raw/master/LICENSE-MIT","zoonavigator-web"
"async@0.2.10","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","handlebars:zoonavigator-web"
"async@0.9.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","karma-webpack:zoonavigator-web"
"async@1.5.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","istanbul-reports:zoonavigator-web"
"async@2.2.0","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","zoonavigator-web"
