Category,License,Dependency,Notes
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # twirl-api_2.11 # 1.1.1,
Apache,Apache2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.softwaremill.common # tagging_2.11 # 1.0.0,
Apache,Apache2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.softwaremill.macwire # util_2.11 # 2.3.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-annotations # 2.7.8,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-core # 2.7.8,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-databind # 2.7.8,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jdk8 # 2.7.8,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jsr310 # 2.7.8,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.findbugs # jsr305 # 3.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.gson # gson # 2.3.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",log4j # log4j # 1.2.16,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.nekohtml # nekohtml # 1.9.22,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-client # 2.11.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-framework # 2.11.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # serializer # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # xalan # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xerces # xercesImpl # 2.11.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xml-apis # xml-apis # 1.4.01,
BSD,BSD (LICENSE.txt),jline # jline # 0.9.94,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,BSD (https://github.com/nbronson/scala-stm/blob/master/LICENSE.txt),org.scala-stm # scala-stm_2.11 # 0.7,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-library # 2.11.8,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-reflect # 2.11.8,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-java8-compat_2.11 # 0.7.0,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-parser-combinators_2.11 # 1.0.4,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-xml_2.11 # 1.0.1,
BSD,BSD License (http://www.opensource.org/licenses/bsd-license),org.webbitserver # webbit # 0.4.14,
BSD,BSD-style (http://www.opensource.org/licenses/bsd-license.php),org.scalacheck # scalacheck_2.11 # 1.13.4,
BSD,New BSD License (http://www.opensource.org/licenses/bsd-license.php),org.hamcrest # hamcrest-core # 1.3,
BSD,Three-clause BSD-style (https://github.com/mpilquist/simulacrum/blob/master/LICENSE),com.github.mpilquist # simulacrum_2.11 # 0.10.0,
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
